name	status	size_bytes	md5	sha256	source_url	notes
connectome-weights-male-cns-v1.0-minconf-0.5.feather	downloaded	1051241946	f30e9dcca25cfd021bf1e7b3d975599e	e35da783d1c686b2b58b3b87cd6a403ae43bfcfba8bff28e08ef752c1a56afc1	https://storage.googleapis.com/flyem-male-cns/v1.0/connectome-data/flat-connectome/connectome-weights-male-cns-v1.0-minconf-0.5.feather	official GCS size and MD5 matched; Feather rows=151856684 columns=3
body-annotations-male-cns-v1.0-minconf-0.5.feather	downloaded	14483314	50a7718770c57220f160ba4f431ab89e	2177e246113e4cfbf1e7772ec37c6da1955ff22e8063d0b1f833101f99a9a3b2	https://storage.googleapis.com/flyem-male-cns/v1.0/connectome-data/flat-connectome/body-annotations-male-cns-v1.0-minconf-0.5.feather	official GCS size and MD5 matched; Feather rows=211577 columns=36
body-neurotransmitters-male-cns-v1.0.feather	downloaded	43282834	3d842b12fe5c49eefade528d7dd24a1f	95c9289220663abeb3409f3ad9e5a7f8a53f8093f5139d15502cd08da8879621	https://storage.googleapis.com/flyem-male-cns/v1.0/connectome-data/flat-connectome/body-neurotransmitters-male-cns-v1.0.feather	official GCS size and MD5 matched; Feather rows=1835518 columns=10
optic-column-type-assignments-v1.0.xlsx	downloaded	111565	a875f5c968298b63a278f2a4ddf6b523	d4af1cacb751036f7e84bfecc9bec79ca010066ac066559c29b566003ec080d3	https://raw.githubusercontent.com/flyconnectome/2025malecns/67767d2233657983993ff6c2be48e836a935863c/supplemental_data/optic-column-type-assignments-v1.0.xlsx	pinned source commit; unzip -t passed
